
Subjects incorporated to date: 016
Data file started on machine PL_LABXP2

**********************************************************************
Subject 1, 04/08/2009 10:26:09 on PL_LABXP2, refresh 9.99ms, ID AL
  Item       RT
101000   1150.95
101001  -1458.16
102000   1038.70
102001  -1298.36
103000    764.01
103001   -287.49
104000   1453.38
104001   3367.70
104002  -2057.40
105000    941.73
105001    502.31
105002    806.51
105003   -672.13
106000    671.30
106001    779.88
106002    863.19
106003    848.94
106004   1153.20
106005    703.48
106006   1139.90
106007  -1148.55
107000    649.20
107001    790.32
107002   1174.91
107003    854.60
107004    802.18
107005   1420.94
107006   1318.34
107007   1113.65
107008    878.91
107009   1468.75
107010   1380.27
107011    815.32
107012   1280.31
108000    680.03
108001    998.75
108002    838.95
108003    679.26
108004    729.09
108005    557.76
108006    669.16
108007    640.72
108008   1517.90
108009   1388.25
108010   1141.64
108011   1293.90
108012    649.19
108013    739.08
 23000    506.01
 23001    664.43
 23002    679.15
 23003    632.42
 23004    644.65
 23005    619.23
 23006    653.25
 23007    568.33
 23008    808.66
 23009    578.86
 23010    659.55
 23011    563.69
 23012    740.59
 23013    674.16
 23014   1338.32
117000    546.96
117001    539.33
117002    717.75
117003    821.90
117004    881.64
117005    869.76
117006    669.16
117007    801.53
117008    975.00
117009    842.95
117010   1278.39
117011    703.04
117012    902.14
117013    749.06
117014   1398.24
 30000    468.23
 30001    810.16
 30002    679.94
 30003   1043.79
 30004   1125.02
 30005    649.19
 30006   1004.38
 30007    770.84
 30008    944.00
 30009   1372.92
 30010   1513.21
 30011    692.45
 30012    825.44
 30013   1422.22
  7000    529.75
  7001    576.20
  7002    629.21
  7003    923.49
  7004   1360.88
  7005    780.01
  7006    759.60
  7007   -987.66
  4000    475.85
  4001    683.54
  4002   1164.35
  4003    622.81
  4004    815.42
  4005    779.02
  4006    922.32
  4007    959.40
  4008    962.54
  4009    739.88
  4010    819.00
  4011    711.98
  4012    791.98
  4013    952.99
 51000    580.68
 51001   1050.83
 51002    907.24
 51003    777.70
 51004    650.05
 51005    656.28
 51006    836.96
 51007   1337.89
 51008    908.86
 51009   1171.50
 51010    850.54
 51011    706.53
 51012    775.79
 51013   1094.43
 51014    853.29
132000    475.44
132001   1282.67
132002    631.08
132003    689.48
132004    918.84
132005    669.23
132006    841.88
132007    966.62
132008    664.92
132009    853.19
132010    636.91
132011    888.42
132012    832.33
132013   1010.99
 25000    564.15
 25001    919.27
 25002    723.09
 25003    664.99
 25004   1003.64
 25005    577.05
 25006   1453.74
 25007    822.63
 25008   1158.54
 25009   1068.38
 25010    651.11
 25011    685.61
 25012   1018.93
 13000    448.07
 13001    641.79
 13002    757.27
 13003    620.35
 13004   1140.57
 13005    799.00
 13006    829.84
 13007   1170.59
 13008    711.87
 13009    996.72
 13010    808.99
 13011   1888.01
 13012   1707.84
 36000    458.91
 36001    544.95
 36002    618.05
 36003   1024.21
 36004    868.92
 36005    653.08
 36006    615.04
 36007    643.34
 36008    738.38
 36009    724.91
 36010   -802.51
 69000    551.55
 69001   1153.17
 69002    765.07
 69003    779.39
 69004   1013.63
 69005    843.54
 69006    724.06
 69007    689.50
 69008    711.11
 69009   1130.69
 69010    781.19
 69011    682.68
 69012    769.02
 69013   1062.47
 69014   1043.64
 62000    474.04
 62001    705.45
 62002    646.75
 62003    607.00
 62004    605.24
 62005    798.82
 62006    953.92
 62007   1117.27
 62008    830.64
 62009    722.29
 62010    779.02
 62011    758.27
 62012    688.90
 62013    802.14
 16000    409.30
 16001    575.85
 16002    655.78
 16003    569.29
 16004    952.79
 16005    698.17
 16006   1048.72
 16007    945.33
 16008    803.21
 16009   1677.88
 16010    719.10
 16011   1188.16
114000    472.88
114001    843.62
114002    553.38
114003    549.32
114004    609.25
114005    898.81
114006   1014.97
114007    789.07
114008    664.14
114009    803.65
114010   1139.19
114011   1203.77
114012  -1583.97
 56000    944.56
 56001    499.38
 56002    569.30
 56003    741.29
 56004    614.35
 56005    831.11
 56006    904.50
 56007    653.94
 56008    584.66
 56009    553.08
 56010    650.06
 56011    636.41
 56012    878.92
 56013    779.03
 56014    694.76
 56015    732.73
 24000    499.39
 24001  -1470.01
 34000    559.32
 34001    759.06
 34002    958.80
 34003    908.86
 34004    606.52
 34005    719.10
 34006    874.01
 34007    767.60
 34008    679.70
 34009    817.29
 34010    691.89
 34011    699.97
 34012    601.49
 34013   1130.95
 40000    452.88
 40001    833.89
 40002    739.08
 40003    660.28
 40004    614.26
 40005    669.86
 40006   1121.87
 40007    729.09
 40008    821.90
 40009    799.77
 40010    641.06
 40011    709.10
 40012   1112.92
 40013    934.81
118000    536.35
118001    679.29
118002    838.73
118003    423.74
118004    674.02
118005    519.41
118006    973.70
118007    583.82
118008    679.15
118009    702.02
118010    589.27
118011    512.42
118012    573.18
118013    806.46
118014    841.27
 58000    439.48
 58001    831.35
 58002    838.20
 58003    719.78
 58004    760.24
 58005    696.34
 58006    629.16
 58007    652.30
 58008    718.83
 58009    603.50
 58010    579.26
 58011    569.29
 58012    839.97
 58013    622.17
 58014   1143.37
 20000    479.76
 20001    731.40
 20002   1826.31
 20003    640.05
 20004   1198.49
 20005    789.01
 20006    710.51
 20007   1008.09
 20008    732.81
 20009   1224.19
 20010   1248.73
 20011    603.64
 20012    769.04
  6000    467.20
  6001   1135.24
  6002    794.58
  6003    669.16
  6004    781.60
  6005    739.07
  6006    814.10
  6007    801.88
  6008    677.52
  6009    901.55
  6010    732.94
  6011   1299.54
  6012   1039.13
  6013    869.59
 39000    579.12
 39001    998.50
 39002    739.09
 39003    650.40
 39004    641.67
 39005    762.06
 39006   1126.85
 39007    580.36
 39008   1082.96
 39009    632.06
 39010    797.49
 39011    873.41
 39012   1233.82
 71000    609.26
 71001    590.61
 71002    979.67
 71003    736.31
 71004    954.35
 71005    699.13
 71006   -775.01
 70000    483.32
 70001    904.62
 70002    519.32
 70003    632.78
 70004    569.29
 70005    461.54
 70006    760.73
 70007    838.43
 70008    582.57
 70009    486.55
 70010    552.62
 70011    858.61
 70012    647.15
 70013    968.79
 15000    470.27
 15001    574.67
 15002    585.32
 15003    560.59
 15004   1427.84
 15005    723.28
 15006   1088.63
 15007    732.61
 15008    530.72
 15009    618.37
 15010   -499.38
 43000    409.51
 43001    984.65
 43002    550.66
 43003   1337.07
 43004    792.66
 43005    645.14
 43006    698.19
 43007    817.47
 43008   1195.76
 43009    853.53
 43010    653.85
 43011    845.31
 43012   1069.64
133000    517.27
133001    585.36
133002   1249.00
133003    686.22
133004    560.62
133005   1128.58
133006    870.42
133007    906.60
133008    909.87
133009    966.63
133010    687.17
133011    831.09
129000    539.33
129001    785.20
129002    973.56
129003    496.83
129004    479.90
129005   1229.82
129006    692.60
129007    674.20
129008    724.62
129009    870.56
129010    792.49
129011    657.58
129012    734.56
129013    820.77
129014   1181.24
 65000    574.34
 65001    868.70
 65002   1512.47
 65003    553.07
 65004    647.13
 65005    744.08
 65006    887.70
 65007    961.69
 65008   1088.69
 65009    863.34
 65010    730.83
 65011    891.43
 65012    603.97
 65013    870.72
 65014    683.54
 11000    447.31
 11001    649.81
 11002    755.39
 11003    898.88
 11004    610.27
 11005    501.04
 11006    774.93
 11007    808.99
 11008    710.46
 11009    741.42
 11010   1246.50
 11011    693.44
 11012   1088.63
121000    489.41
121001    363.81
121002    639.21
121003    633.45
121004    779.03
121005   -700.75
 50000    516.64
 50001    635.54
 50002    825.52
 50003    637.22
 50004    852.55
 50005    449.80
 50006    561.68
 50007   1149.64
 50008    587.84
 50009    700.55
 50010    890.94
 50011    699.13
 50012    733.66
 33000    821.30
 33001    951.82
 33002    559.31
 33003    635.08
 33004    880.70
 33005    769.04
 33006    729.09
 33007    759.45
 33008   2252.36
 33009    721.80
 33010    661.01
126000    609.26
126001    954.97
126002    625.90
126003   1177.37
126004   1189.31
126005   1127.79
126006   1418.21
126007   1328.33
126008    794.55
126009    659.18
126010    811.05
126011   1402.22
130000    559.27
130001    955.60
130002   1105.24
130003    813.08
130004    789.01
130005    712.84
130006    983.24
130007    755.25
130008    715.02
130009    942.27
130010    885.11
130011   1062.44
130012    783.84
130013   1248.43
119000    599.26
119001    597.31
119002    565.55
119003    702.13
119004    650.32
119005    575.18
119006   1188.28
119007   1661.92
119008    775.32
119009    659.20
119010    773.53
119011    592.19
119012    539.33
 60000    523.60
 60001   1312.15
 60002    794.52
 60003    588.49
 60004    718.04
 60005    603.48
 60006    669.16
 60007    664.06
 60008    583.07
 60009    600.27
 60010   1078.64
 60011    513.15
 60012   -543.63
 17000    409.84
 17001   -386.21
 31000    619.59
 31001   1038.41
 31002    589.27
 31003    584.40
 31004    978.77
 31005    629.75
 31006    968.79
 31007    780.69
 31008   1151.10
 31009    629.53
 31010    563.85
 31011    566.89
 31012   1025.96
 52000    428.46
 52001    740.79
 52002    503.56
 52003   1371.12
 52004    671.64
 52005   1398.24
 52006    576.97
 52007    729.09
 52008    909.36
 52009   -544.24
 54000    420.16
 54001   1068.66
 54002    587.88
 54003    604.15
 54004    533.18
 54005    600.24
 54006    589.27
 54007    643.26
 54008    711.96
 54009    835.65
 54010    788.75
 54011    808.99
 54012    640.08
 54013   1029.98
 54014   1515.71
 28000    669.18
 28001    987.81
 28002   1758.77
 28003   1634.59
 28004    464.51
 28005    886.69
 28006   1319.16
 28007    716.43
 28008    574.57
 28009   1409.13
 28010    674.78
 28011    837.47
 28012   1718.02
 28013    689.14
 28014   1278.39
 28015    850.91
 67000    568.79
 67001    667.02
 67002   1076.04
 67003    649.19
 67004    579.74
 67005    642.12
 67006    532.10
 67007   1068.66
 67008    660.27
 67009    675.74
 67010    633.36
 67011    893.63
 67012    744.83
 67013    676.50
 67014    773.53
 67015   1025.77
 63000    544.52
 63001   1028.71
 63002    540.61
 63003   1131.93
 63004    569.58
 63005    769.68
 63006    988.74
 63007    780.26
 63008    717.91
 63009    829.87
 63010    822.03
 63011    590.78
 63012    689.14
120000    491.48
120001    821.98
120002    653.26
120003    638.68
120004    986.85
120005    599.73
120006    694.48
120007    910.78
120008    641.63
120009    986.62
120010    858.92
120011   1027.69
120012    699.13
120013    807.78
 42000    488.63
 42001   1125.75
 42002    828.96
 42003    571.46
 42004    998.75
 42005   1390.90
 42006   1478.14
 42007   1140.58
 42008    874.09
 42009   1241.12
 42010   2062.94
 42011    568.88
 42012    398.09
 22000    622.17
 22001    837.29
 22002    524.77
 22003    682.01
 22004    560.36
 22005    745.04
 22006    719.10
 22007    649.19
 22008    805.54
 22009    919.49
