
Subjects incorporated to date: 018
Data file started on machine PL_LABXP1

**********************************************************************
Subject 2, 05/04/2009 11:21:30 on PL_LABXP1, refresh 9.99ms, ID SB
  Item       RT
101000   2717.27
101001    893.77
101002  -1101.36
102000    539.38
102001   1034.04
102002   1038.67
102003    999.23
102004    789.73
102005    891.46
102006    989.06
102007    721.41
102008   1069.04
102009  -1298.19
103000    911.34
103001    908.84
103002  -1462.75
104000    742.78
104001    895.21
104002    988.72
104003   1168.52
104004   1000.13
104005   1119.04
104006    978.67
104007   1312.37
104008   3237.42
104009   1143.78
104010   1042.08
104011   2496.74
104012   1106.59
104013   1407.52
105000    571.74
105001   1202.47
105002   1001.29
105003    846.35
105004    914.58
105005    659.16
105006    793.66
105007    911.58
105008    754.08
105009    948.81
105010  -2899.36
106000    739.53
106001   1170.41
106002    719.05
106003    666.79
106004    687.22
106005    765.31
106006    583.40
106007    685.14
106008   1779.42
106009   1737.75
106010    639.19
106011   1997.41
106012    649.18
106013   1148.53
107000    367.20
107001    676.97
107002   1418.19
107003    719.10
107004    997.54
107005   1078.18
107006    670.78
107007    720.74
107008   1075.99
107009    668.57
107010   1044.05
107011    844.25
107012    632.12
108000    358.14
108001   1265.62
108002   1854.89
108003    921.29
108004    757.52
108005   1206.80
108006   1235.85
108007    679.06
108008   1476.82
108009    964.16
108010    623.41
108011    806.42
108012   1104.02
108013   1218.28
 13000    433.08
 13001    734.98
 13002    633.78
 13003    627.20
 13004    616.55
 13005   1361.72
 13006   1758.60
 13007   1168.50
 13008    760.96
 13009   1465.79
 13010   1188.28
 13011   1301.89
 13012    988.26
 15000    332.20
 15001    963.63
 15002    686.61
 15003    898.86
 15004    561.93
 15005   1093.97
 15006   1228.42
 15007   1473.50
 15008   1103.14
 15009    705.10
 15010   1134.81
 15011    900.27
 15012    903.61
 15013    959.95
 33000    669.21
 33001   1160.34
 33002    646.70
 33003    928.84
 33004    622.65
 33005    828.75
 33006    629.11
 33007    986.59
 33008    892.05
 33009   1026.68
 33010    697.79
 72000    449.99
 72001   1045.22
 72002   1208.61
