
Subjects incorporated to date: 025
Data file started on machine PL_LABXP1

**********************************************************************
Subject 16, 04/21/2009 15:16:36 on PL_LABXP3, refresh 9.99ms, ID LS
  Item       RT
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 2.52ms late
 31008    330.82
 31009    356.32
 31010    316.80
 31011    259.53
 31012    389.83
 31013    289.96
 31251  -1489.19
 42000    525.87
 42001    240.33
 42002    410.28
 42003    439.81
 42004    375.70
 42005    240.06
 42006    305.41
 42007    509.68
 42008    444.67
 42009    523.07
 42010    474.81
 42011    442.31
 42012    462.44
 42013    289.54
 42251   1231.87
 45000    512.27
 45001    260.00
 45002    338.86
 45003    469.62
 45004    377.84
 45005    322.21
 45006    298.79
 45007    380.61
 45008    341.53
 45009    394.91
 45010    278.26
 45011    442.87
 45251   1258.69
 48000    357.52
 48001    250.00
 48002    384.26
 48003    386.28
 48004    352.87
 48005    317.28
 48006    309.94
 48007    284.11
 48008    241.08
 48009    220.53
 48010    440.95
 48011    253.83
 48012    214.41
 48013    253.42
 48014    380.97
 48251   1098.89
 57000    439.75
 57001    344.48
 57002    503.32
 57003    250.75
 57004    269.99
 57005    354.61
 57006    280.81
 57007    269.98
 57008    245.19
 57009    425.25
 57010    469.73
 57011    195.12
 57012    173.50
 57013    357.68
 57014    368.86
 34000    446.66
 34001    223.29
 34002    299.95
 34003    264.50
 34004    307.27
 34005    383.04
 34006    389.83
 34007    309.93
 34008    530.26
 34009    414.39
 34010    409.79
 34011    739.38
 34012    374.39
 34013    265.14
 34014    303.79
 59000    457.44
 59001    351.16
 59002    466.06
 59003    357.61
 59004    347.38
 59005    415.42
 59006    389.83
 59007    363.73
 59008    379.85
 59009    369.86
 59010    427.59
 59011    409.87
 59012    331.82
 59013    344.46
 59014    351.77
 59015    305.24
 59016    473.85
 43000    384.04
 43001    312.29
 43002    392.72
 43003    474.70
 43004    353.13
 43005    347.94
 43006    234.32
 43007    368.27
 43008    469.28
 43009    463.45
 43010    587.53
 43011    357.14
 43012    225.67
 43013    361.78
 52000    413.17
 52001    291.40
 52002   1121.58
 52003    264.99
 52004    422.68
 52005    414.94
 52006    429.77
 52007    305.72
 52008    275.04
 52009    389.83
 52010    284.07
 52011    323.92
 52012    322.17
 52013    530.30
 53000    348.49
 53001    291.45
 53002    451.46
 53003    239.89
 53004    444.15
 53005    383.34
 53006    295.95
 53007    275.39
 53008    262.20
 53009    654.24
 53010    473.25
 53011    511.32
 53012    430.99
 53013    262.64
 53014    361.74
 53015    380.74
 68000    299.39
 68001    819.27
 68002    595.58
 68003    580.91
 68004    363.58
 68005    399.16
 68006    278.60
 68007    424.44
 68008    346.08
 68009    267.94
 68010    364.04
 68011    333.97
 68012    345.81
