
Subjects incorporated to date: 017
Data file started on machine PL_LABXP1



**********************************************************************
Subject 2, 04/08/2009 10:12:52 on PL_LABXP1, refresh 9.99ms, ID ND
  Item       RT
101000   1994.21
101001   2170.37
101002   1178.47
101003    850.97
101004    858.89
101005    832.23
101006    729.06
101007    799.30
101008    754.88
101009    798.97
101010    752.81
101011    737.00
101012    688.47
101013    688.63
102000   2004.63
102001   1155.04
102002    593.09
102003    594.45
102004    660.34
102005    726.65
102006    687.81
102007    670.45
102008    662.10
102009    626.23
102010    807.59
102011    654.74
102012    696.80
103000    561.55
103001   1577.94
103002    716.66
103003    715.41
103004   1039.11
103005    655.62
103006    783.35
103007    974.91
103008    742.06
103009    716.71
103010    989.68
103011    690.20
103012    699.39
103013    707.15
103014    778.99
104000    579.24
104001    679.13
104002    708.60
104003    658.75
104004    703.52
104005    691.75
104006    603.32
104007    582.99
104008   1111.97
104009    569.27
104010    707.45
104011    631.27
104012    633.71
104013    884.25
105000    595.35
105001    669.60
105002    598.90
105003    552.46
105004    904.34
105005    523.91
105006    540.54
105007    567.49
105008    624.28
105009    634.81
105010   1228.40
105011    934.02
106000    549.34
106001    639.17
106002    541.96
106003    640.15
106004    634.63
106005    571.65
106006    694.60
106007    566.63
106008    567.51
106009    700.26
106010    639.68
106011    550.10
106012    639.18
106013    694.52
107000    487.25
107001    619.20
107002    572.44
107003    709.94
107004    649.49
107005    581.18
107006    509.35
107007    742.69
107008    547.47
107009    765.58
107010    751.24
107011    635.88
107012    575.83
108000    442.12
108001    977.71
108002    553.81
108003    483.86
108004    483.86
108005    521.98
108006    539.56
108007    638.10
108008    588.88
108009    794.47
108010    484.67
108011    500.30
108012    587.70
108013   -687.80
121000    471.24
121001    569.52
121002    581.58
121003    634.00
121004    539.87
121005    496.77
121006    743.41
121007    451.51
121008    446.31
121009    743.82
121010    833.76
121011    479.65
121012    702.98
121013    803.57
121014    528.93
 29000    443.07
 29001   -618.99
  7000    442.98
  7001   1044.13
  7002    693.88
  7003    524.24
  7004    526.03
  7005    691.89
  7006   1091.51
  7007   1359.24
  7008   1681.58
  7009    860.14
  7010    599.81
  7011    571.04
  7012    903.19
 52000    726.57
 52001   1111.41
 52002    611.24
 52003    767.47
 52004    579.51
 52005    623.36
 52006    734.33
 52007    620.15
 52008    701.91
 52009    605.20
 52010    559.56
 52011    600.87
 52012    511.26
