
Subjects incorporated to date: 019
Data file started on machine PL_LABXP4

**********************************************************************
Subject 1, 04/21/2009 10:56:15 on PL_LABXP4, refresh 9.99ms, ID JR
  Item       RT
115011    321.55
115012    273.82
115013    308.84
115014    416.00
115015    255.02
115016    325.94
115251   1664.81
113000    478.53
113001    320.37
113002    247.23
113003    297.94
113004    517.38
113005    332.62
113006    339.60
113007    346.84
113008    381.44
113009    432.50
113010    382.97
113011    294.17
113012    222.62
112000    417.71
112001    275.07
112002    274.26
112003    255.06
112004    309.64
112005    273.26
112006    289.66
112007    289.65
112008    333.24
112009    335.09
112010    254.90
112011    238.78
112012    243.82
112013    393.23
112251   1649.42
 18000    516.31
 18001    247.56
 18002    251.55
 18003    216.12
 18004    219.75
 18005    252.27
 18006    275.42
 18007    265.98
 18008    291.53
 18009    339.60
 18010    337.96
 18011    363.92
 18012    409.51
 18013    468.52
 18014    291.55
 18015    505.13
111000    479.27
!  Display error at msec 480207.48, tick 48075 in item 111001, frame "The ------ --- ---- -- ----- -- ------- --- --- ----- ---- ---- ----."
!    was blocked by Flip() not returning for 5.25ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 5.13ms late
111001    390.72
111002    321.32
111003    318.51
111004    359.87
111005    328.75
111006    383.57
111007    383.18
111008    462.02
111009    435.88
111010    324.11
111011    342.10
111012    299.64
111013    326.85
111014    533.00
111251   2539.09
 20000    536.36
 20001    327.57
 20002    358.85
 20003    603.40
 20004    369.89
 20005    327.75
 20006    350.64
 20007    327.54
 20008    353.16
 20009    451.25
 20010    433.68
 20011    392.23
 20012    378.10
 20013    804.60
 20251   1965.47
 13000    551.63
 13001    327.05
 13002    320.42
 13003    283.34
 13004    381.56
 13005    293.19
 13006    383.73
 13007    467.32
 13008    488.54
 13009    459.76
 13010    489.03
 13011    356.63
 13012    366.91
 13013    406.85
 13251   1340.66
!  Display error at msec 507671.94, tick 50818 in item 120000, frame "--- ----- ---- --- - --- -------- -- ------ --- ---- --------- ---- ----."
!    was blocked by Flip() not returning for 4.97ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 4.83ms late
120000    480.32
120001    339.88
120002    499.69
120003    979.13
120004    586.88
120005    369.90
120006    335.06
120007    407.08
!  Display error at msec 512317.06, tick 51275 in item 120008, frame "--- ----- ---- --- - --- -------- to ------ --- ---- --------- ---- ----."
!    moved into video memory 8 ticks late
!     (previous frame's duration will have been longer)
!    -- possibly caused by another process taking 9 ticks
!    -- exaggerated by msec callback being 4.83ms late
120008    315.36
120009    308.77
120010    431.26
120011    370.12
120012    417.71
120013    612.10
120014    679.01
120251   2500.28
 12000    400.60
 12001    328.54
 12002    356.08
 12003    330.91
 12004    344.62
 12005    353.08
 12006    349.61
 12007    309.93
 12008    312.30
 12009    445.47
 12010    320.41
 12011    355.98
 12012    562.37
 12013    349.39
 12014    346.36
 12015    374.44
 12251   -984.64
127000   1897.87
127001    477.39
127002    421.45
127003    439.78
127004    422.59
127005    419.79
127006    395.04
127007    409.81
127008    532.03
127009    424.79
127010    380.45
127011    441.73
127012    371.79
127013    309.28
127014    319.93
122000    729.10
122001    479.42
122002    368.71
122003    355.24
122004    325.40
122005    299.65
122006    279.68
122007    309.67
122008    423.32
122009    414.39
122010    364.56
122011    348.01
122012    309.94
122013    422.02
 15000    575.44
 15001   1138.24
 15002    379.85
 15003    349.88
 15004    339.90
 15005    305.85
 15006    311.30
 15007    323.14
 15008    372.09
 15009    411.13
 15010    349.89
 15011    358.40
 15012    329.91
 15013    405.59
 15014    711.63
 15251   2263.62
 14000    574.10
 14001    305.10
 14002    319.92
 14003    279.98
 14004    256.17
 14005    269.63
 14006    360.85
 14007    267.33
 14008    350.60
 14009    356.96
 14010    354.16
 14011    489.46
 14012    448.78
 14013    391.63
 14014    358.85
 14015    707.96
 14251   1458.13
 10000    478.25
 10001    343.97
 10002    277.01
 10003    286.05
 10004    369.56
 10005    314.37
 10006    320.57
 10007    353.88
 10008    339.59
 10009    352.99
 10010    328.11
 10011    349.58
 10012    319.63
 10013    351.36
 10014    359.83
 10015    309.64
 10016    329.60
 10251  -1725.44
124000    885.88
124001   2017.44
124002    243.41
124003    283.74
124004    198.38
124005    275.60
124006    483.70
124007    299.48
124008    310.94
124009    302.51
124010    319.99
124011    332.72
124012    290.93
124013    280.03
124014    254.57
132000    544.18
132001    289.96
132002    398.61
132003    267.15
132004    299.93
132005    339.90
132006    299.05
132007    369.86
132008    293.06
132009    333.81
132010    415.82
132011    312.31
132012    332.18
132013    327.21
132014    284.66
123000    552.59
123001    311.05
123002    496.03
123003    297.08
123004    262.42
123005   1338.60
123006    385.17
123007    429.78
123008    482.89
123009    339.88
123010    312.02
123011    286.98
123012    373.62
123013    384.43
123014    274.97
123015    250.59
116000    482.80
116001    273.33
116002    339.90
116003    397.50
116004    369.85
116005    449.85
116006    382.85
116007    348.36
116008    280.67
116009    399.84
116010    317.97
116011    295.85
116012    306.34
116013    309.64
116014    414.22
 23000    467.85
 23001    327.18
 23002    414.27
 23003    311.73
 23004    358.95
 23005    343.73
 23006    334.39
 23007    313.77
 23008    373.67
 23009    458.61
 23010    359.58
 23011    386.39
 23012    324.69
 23013    409.81
 23014    367.17
 23015    339.90
 23251  -1836.66
 21000    921.55
 21001    340.92
 21002    900.21
 21003    419.79
 21004    546.64
 21005    676.41
 21006    629.70
 21007    576.81
 21008    927.38
 21009    356.67
 21010    453.52
 21011    333.50
 21012    309.93
 21013    323.00
 21014    523.38
131000    539.62
131001    407.84
131002    533.83
131003    394.50
131004    363.02
131005    371.04
131006    354.51
131007    369.86
131008    348.09
131009    339.90
131010    359.58
131011    333.90
131012    349.20
131013    341.05
131014    327.27
131015    728.72
131251   1857.66
  2000    531.48
  2001    308.21
  2002    252.11
  2003    312.67
  2004    264.18
  2005    294.92
  2006    304.64
  2007    299.64
  2008    391.02
  2009    345.54
  2010    317.87
  2011    317.35
  2012    316.59
  2013   3000.38
 22000    439.46
 22001   4783.92
 22002    369.60
 22003    295.35
 22004    328.85
 22005    329.62
 22006    304.25
 22007    315.55
 22008    354.65
 22009    472.99
 22010    609.25
 22011    882.42
 22012    464.76
 22013    745.17
130000    569.31
130001    906.12
130002    544.51
130003    356.90
130004    299.64
130005    308.38
130006    422.23
130007    858.94
130008    604.70
130009    751.82
130010    241.51
130011    359.64
130012    294.60
130013    437.72
130014    388.30
 16000    533.41
 16001    364.81
 16002    455.74
 16003    484.22
 16004    355.78
 16005    405.99
 16006    615.26
 16007    349.88
 16008    405.23
 16009    451.42
 16010    779.91
 16011    390.93
 16012    476.71
  6000    782.16
  6001    393.17
  6002    439.74
  6003    769.33
  6004    355.72
  6005    431.21
  6006    391.78
  6007    369.86
  6008    353.90
  6009    384.69
  6010    376.57
  6011    419.85
  6012    358.88
  6013    331.94
  6014    631.96
118000    690.07
118001    541.79
118002    765.73
118003    640.82
118004    480.60
118005    379.63
118006    352.28
118007    532.45
118008    303.23
118009    298.98
118010    299.64
118011    271.92
118012    259.81
118013    333.64
118014    347.19
118015    339.59
118251   1970.50
125000    543.66
125001    310.38
125002    464.02
125003    420.09
125004    587.80
125005    442.49
125006    289.69
125007    299.64
125008    389.54
125009    316.34
125010    269.74
125011    259.69
125012    211.10
125013    254.76
125014    311.03
125015    361.25
125251   2286.24
134000    629.23
134001    269.69
134002    226.95
134003    232.26
134004    486.27
134005    239.73
134006    263.05
134007    296.72
134008    309.64
134009    306.70
134010    256.19
134011    206.10
134012    243.14
134013    349.52
134014    363.76
134251   2738.84
 58000    520.95
 58001    277.24
 58002    458.58
 58003    285.64
 58004    220.20
 58005    299.00
 58006    264.63
 58007    273.67
 58008    301.18
 58009    352.60
 58010    464.27
 58011    347.99
 58012    363.28
 58013    357.70
 58014    316.13
 58015    335.92
 58251   1364.80
 26000    445.55
 26001    283.75
 26002    294.52
 26003    309.96
 26004    412.06
 26005    304.04
 26006    349.46
 26007    252.43
 26008    227.83
 26009    287.73
 26010    279.96
 26011    244.98
 26012    375.86
 51000    487.92
 51001    312.71
 51002    311.10
 51003    314.15
 51004    296.71
 51005    315.07
 51006    413.19
 51007    283.48
 51008    313.03
 51009    362.13
 51010    288.87
 51011    464.68
 51012    642.12
 51013    379.82
 51014    373.41
 51015    392.04
 51251   2224.36
 38000    439.89
 38001    343.55
 38002    263.10
 38003    266.72
 38004    239.73
 38005    233.80
 38006    259.70
 38007    245.08
 38008    347.55
 38009    254.24
 38010    289.67
 38011    245.28
 38012    239.36
 38013    259.73
 38014    409.51
 30000    480.90
 30001    279.96
 30002    416.87
 30003    232.98
 30004    232.16
 30005    226.47
 30006    259.01
 30007    234.38
 30008    582.17
 30009    305.04
 30010    322.20
 30011    276.41
 30012    620.47
 30013    229.74
 30014    218.48
 30251  -2855.39
 66000    645.16
 66001    395.99
 66002    358.40
 66003    379.55
 66004    299.65
 66005    544.55
 66006    360.02
 66007    409.51
 66008    334.24
 66009   1889.66
 66010    477.04
 66011    738.55
 66012    324.21
 66013    258.97
 66014    285.05
 66015    439.48
 68000    580.89
 68001    309.64
 68002    260.47
 68003    242.29
 68004    261.10
 68005    292.63
