
Subjects incorporated to date: 019
Data file started on machine PL_LABXP1

**********************************************************************
Subject 1, 05/04/2009 15:34:38 on PL_LABXP1, refresh 9.99ms, ID EP
  Item       RT
 57013   1447.83
119000    916.04
119001    823.44
119002   1363.77
119003    619.23
119004    624.36
119005    680.11
119006   1627.23
119007   1194.27
119008    610.45
119009    701.59
119010   1358.27
119011   1236.44
119012    688.89
 72000    580.10
 72001    701.90
 72002    769.04
 72003   1242.32
 72004    809.01
 72005    791.38
 72006    889.64
 72007    958.74
 72008    863.90
 72009    757.78
 72010    729.62
 72011    858.42
 72012   1148.61
 72013    941.00
 72014    753.27
 72015   1026.23
116000    534.94
116001   1666.64
116002   1645.51
116003    687.69
116004    913.06
116005    780.96
116006   2077.15
116007    518.01
116008   1480.26
116009    736.69
116010   1734.25
116011   1533.71
116012   1181.83
116013   1222.99
 41000    532.79
 41001   1076.71
 41002    611.78
 41003    549.32
 41004    562.62
 41005   -559.32
 45000    469.69
 45001    803.89
 45002   -931.06
 13000    465.07
 13001    642.81
 13002    762.81
 13003    623.99
 13004    529.36
 13005   1068.70
 13006   1455.46
 13007    519.37
 13008   1033.73
 13009    736.59
 13010    813.14
 13011   1123.43
 13012    720.12
111000    522.27
111001    631.70
111002    462.44
111003    981.16
111004    507.02
111005    859.16
111006    579.54
111007    789.24
111008    599.52
111009   1241.33
111010    896.88
111011    723.93
111012   1045.81
111013    659.43
 23000    612.37
 23001    981.39
 23002    874.20
 23003   1267.12
 23004    908.24
 23005   2476.87
 23006   1740.48
 23007    752.96
 23008    563.90
 23009    501.89
 23010    851.97
 23011   1707.80
 23012   1078.91
 23013    622.51
 23014    781.04
124000   1353.35
124001    854.40
124002    553.68
124003    812.93
124004    590.10
124005    954.67
124006   1909.64
124007    801.35
124008   1587.95
124009   1048.23
124010   1210.25
124011    808.59
124012    751.01
124013    652.71
  9000    653.01
  9001    834.35
  9002    796.72
  9003   1186.37
  9004    948.79
  9005   1106.90
  9006   1309.42
  9007   1575.85
  9008    642.46
  9009    639.20
  9010    578.14
  9011    849.67
 16000    432.36
 16001    584.06
 16002    415.88
 16003    578.86
 16004    594.69
 16005    449.91
 16006    998.92
 16007    516.96
 16008   -835.36
133000    376.57
133001    486.01
133002    626.88
133003    509.37
133004    460.04
133005    821.30
133006   1336.19
133007   -804.01
 35000    559.16
 35001   1068.58
 35002   1557.35
 35003   -486.08
 67000    413.42
 67001    780.38
 67002    664.57
 67003    580.88
 67004   1002.86
 67005    670.12
 67006    824.80
 67007    562.66
 67008    639.22
 67009    573.18
 67010    918.86
 67011    669.16
 67012    578.42
 67013    608.02
 67014    878.88
 67015   1388.23
 34000    414.19
 34001    612.19
 34002    659.42
 34003    623.16
 34004    469.44
 34005    577.98
 34006    844.07
 34007    438.67
 34008   1084.52
 34009    495.57
 34010    599.25
 34011    571.35
 34012    471.22
 34013    811.54
 17000    401.36
 17001    409.23
 17002    431.58
 17003    366.82
 17004    621.48
 17005    499.37
 17006    642.51
 17007    828.90
 17008   1357.40
 17009    708.64
 17010    358.40
 17011    524.88
 17012   -410.68
 30000    446.47
 30001    767.88
 30002    459.44
 30003    429.35
 30004    594.80
 30005    533.76
 30006    523.98
 30007    715.24
 30008    938.34
 30009    438.68
 30010    553.26
 30011   1029.55
 30012    574.57
 30013    525.65
 15000    349.61
 15001    469.27
 15002    449.40
 15003    540.81
 15004    442.27
 15005    626.94
 15006    967.84
 15007    878.59
 15008  -1240.26
113000    461.25
113001    850.31
113002    388.44
113003   1937.56
113004    888.87
113005    453.74
113006    647.01
113007    902.74
113008    531.62
113009    589.26
113010    481.97
113011    607.17
 66000    521.89
 66001    812.02
 66002    633.89
 66003    444.49
 66004   1218.80
 66005    678.53
 66006    908.78
 66007   -562.97
 14000    292.85
 14001    521.66
 14002    449.07
 14003    439.48
 14004    456.68
 14005    596.22
 14006    580.73
 14007   1221.39
 14008    607.78
 14009    514.42
 14010   1182.15
!  Display error at msec 792962.44, tick 78787 in item 14011, frame "of   dare"
!    moved into video memory 3 ticks late
!     (previous frame's duration will have been longer)
!    -- possibly caused by another process taking 4 ticks
!    -- but more than likely due to msec callback being 32.21ms late
 14011    571.09
 14012    669.17
 14013    655.60
 14014    593.34
  2000    383.99
  2001    571.59
  2002    591.28
  2003    442.66
  2004    539.55
  2005    633.34
  2006   1243.74
  2007   1108.57
  2008    526.92
  2009    686.67
  2010   1080.02
  2011    584.73
  2012    503.98
 28000    319.79
 28001    753.45
 28002    396.16
 28003    852.47
 28004    459.45
 28005    720.54
 28006    673.70
 28007    554.73
 28008    611.04
 28009    535.22
 28010    883.26
 28011    437.03
 28012    673.84
 28013    737.96
 28014    669.22
 28015    675.24
 39000    373.37
 39001   -649.26
  7000    319.60
  7001    549.53
  7002    659.81
  7003    695.99
  7004    743.65
  7005    563.36
  7006    721.78
  7007    990.33
  7008   1511.69
  7009    505.06
  7010    588.34
  7011    468.24
  7012    871.30
 40000    383.31
 40001    592.31
 40002   1493.43
 40003    893.56
 40004    501.67
 40005    643.90
 40006    473.75
 40007    792.76
 40008    856.28
 40009    877.50
 40010   1013.76
 40011   1313.86
 40012   1231.86
 40013   1003.86
129000    785.69
129001    502.14
129002    512.27
129003    890.99
129004    423.02
129005    786.54
129006    506.00
129007    819.57
129008    998.33
129009    659.17
129010    751.86
129011    442.87
129012    809.77
129013    867.85
129014    688.84
 46000    719.11
 46001    769.77
 46002    808.03
 46003   1511.99
 46004    744.43
 46005    560.04
 46006    651.64
 46007    828.90
 46008   1008.67
 46009    650.41
 46010    914.86
 46011    510.86
 46012    831.54
 46013   1104.51
131000   3835.04
131001   1178.62
131002    738.19
131003    750.36
131004    545.95
131005    507.41
131006    536.74
131007    479.41
131008    435.82
131009    509.38
131010    485.09
131011    860.02
131012    386.13
131013    663.25
131014    728.05
114000    728.83
114001   1437.82
114002   1369.42
114003    741.74
114004    510.89
114005    715.02
114006    770.50
114007   1010.72
114008    529.36
114009    854.28
114010    561.31
114011    563.75
114012    758.91
114013    793.75
 47000   5151.88
 47001   1963.31
 47002   1138.54
 47003    621.55
 47004    739.09
 47005    589.28
 47006    636.72
 47007    660.08
 47008    989.36
 47009   1023.09
 47010    529.15
 47011    604.61
 47012    986.38
  8000    434.52
  8001    947.04
  8002    449.15
  8003    667.87
  8004    765.57
  8005    631.04
  8006   1079.13
  8007  -2254.79
132000    479.43
132001   1576.29
132002    497.57
132003   -423.45
 64000    460.07
 64001   -818.98
 37000    409.52
 37001    719.09
 37002   1098.14
 37003    486.25
 37004    561.92
 37005    563.06
 37006    949.31
 37007    928.60
 37008    613.42
 37009    674.30
 37010    598.45
 37011    533.61
 37012   1608.09
 37013   1185.84
 42000    362.24
 42001    631.64
 42002    584.66
 42003    650.29
 42004    930.93
 42005    633.44
 42006    709.76
 42007    638.11
 42008   1111.94
 42009    691.88
 42010    676.71
 42011    591.00
 42012   1478.11
!  Display error at msec 967931.96, tick 96145 in item 42250, frame ""
!    was blocked by Flip() not returning for 46.31ms
!     (previous frame's duration will have been longer)
!    -- due to msec callback being 45.94ms late
 56000    496.15
 56001    720.96
 56002    612.01
 56003    614.01
 56004    502.33
 56005   1408.78
 56006    779.03
 56007    643.95
 56008    632.10
 56009    590.93
 56010    683.48
 56011    932.15
 56012   1220.85
 56013    766.92
 56014    582.27
 56015    671.35
130000    446.55
130001   1032.23
130002    561.94
130003    584.82
130004    649.45
130005   1704.36
130006   2258.96
130007    673.36
130008   -900.91
 68000    503.84
 68001    705.58
 68002    690.52
 68003    518.20
 68004    635.13
 68005    856.40
 68006    744.34
 68007    772.61
 68008    683.70
 68009    679.41
 68010    749.29
 68011    742.38
 68012    892.47
 68013    783.22
 68014    654.63
 68015    710.71
 49000    468.16
 49001    408.98
 49002    530.75
 49003   -411.03
 65000    633.35
 65001    509.38
 65002    540.88
 65003    684.36
 65004    600.11
 65005    519.58
 65006    483.51
 65007    554.80
 65008    534.92
 65009    447.18
 65010    527.88
 65011    852.04
 65012    579.27
 65013    689.12
 65014    610.62
 31000    406.13
 31001   -437.45
 27000    548.07
 27001    500.98
 27002    742.43
 27003    431.48
 27004   -524.64
 59000    529.34
 59001    604.69
 59002   1284.71
 59003    600.27
 59004    695.98
 59005    700.17
 59006    755.09
 59007    866.28
 59008    740.74
 59009    742.43
 59010    691.38
 59011    605.18
 59012    879.09
 59013    600.20
 59014    623.26
 59015   1817.64
 71000    415.43
 71001    489.35
 71002    720.83
 71003    536.81
 71004    500.67
 71005    542.49
 71006    479.41
 71007    510.73
 71008    503.85
 71009    513.42
 71010    511.85
 71011    855.38
 71012    673.56
 71013    691.95
  1000   1817.37
  1001    483.32
  1002    614.85
  1003    513.25
  1004    602.09
  1005    818.97
  1006    695.14
  1007    665.52
  1008    669.12
  1009   1251.07
  1010    736.47
  1011    556.34
  1012    822.61
  1013    992.32
121000   3807.17
121001    862.40
121002    972.51
121003   1015.84
121004    403.82
121005    639.28
121006   1151.09
121007    649.19
121008    716.34
121009    978.76
121010    568.88
121011    612.50
121012    777.04
121013    467.18
121014    813.79
 36000    579.83
 36001    644.83
 36002   1184.43
 36003    969.99
 36004    729.18
 36005    662.78
 36006    848.93
 36007    429.48
 36008    677.49
 36009    579.26
 36010    519.34
 36011    838.93
 36012    657.63
 36013    494.01
 36014  -1891.38
 50000   4559.69
 50001    531.01
 50002    546.96
 50003    418.68
 50004    895.13
 50005    503.96
 50006    549.47
 50007    930.24
 50008   1052.38
 50009    502.11
 50010    599.56
 50011    543.88
 50012    526.99
 26000   1199.72
 26001   2784.06
 26002    921.38
 26003    650.26
 26004    689.39
 26005   1770.92
 26006   1010.19
 26007    572.17
 26008    715.10
 26009    487.45
 26010    521.28
 26011    704.22
 52000  10337.99
 52001    671.32
 52002    482.10
 52003   -589.53
 33000    517.94
 33001   1101.34
 33002    399.78
 33003    525.61
 33004    455.37
 33005    529.34
 33006    441.19
 33007    756.76
 33008    740.55
 33009   1006.26
 33010   -619.22
126000    435.73
126001    718.83
126002    729.10
126003    579.24
126004    458.59
126005   -503.50
 62000    425.40
 62001    650.03
 62002    836.21
 62003    476.94
 62004    672.99
 62005    583.87
 62006    607.65
 62007    638.20
 62008    559.07
 62009    632.08
 62010    580.32
 62011    656.47
 62012    669.15
 62013    589.28
 63000    431.65
 63001   1303.78
 63002   1636.29
 63003   1342.33
 63004    594.22
 63005    948.78
 63006    710.14
 63007    790.22
 63008    560.94
 63009    511.96
 63010    622.79
 63011    548.39
 63012    653.22
 61000   4912.87
 61001   -619.22
115000    550.16
115001    841.59
115002   1078.95
115003    742.89
115004    811.65
115005    649.17
115006   1207.46
115007    614.75
115008   1520.94
115009    832.36
115010    519.49
115011   1005.31
115012    795.14
115013    715.95
115014    672.30
115015    589.40
